date,temperature,humidity,luminosity
2023-12-21 14:54:30.895,19.0,28.0,92
2023-12-21 14:54:25.855,19.0,27.8,124
2023-12-21 14:54:20.815,19.0,27.6,174
2023-12-21 14:54:15.776,19.0,27.7,94
2023-12-21 14:54:10.736,19.0,28.0,187
2023-12-21 14:54:05.696,19.0,28.2,124
2023-12-21 14:54:00.655,19.0,28.4,192
2023-12-21 14:53:55.615,19.0,28.5,191
2023-12-21 14:53:50.575,19.0,28.3,170
2023-12-21 14:53:45.535,18.9,28.5,179
2023-12-21 14:53:40.495,19.0,28.8,173
2023-12-21 14:53:35.455,19.0,28.9,144
2023-12-21 14:53:30.415,19.0,28.6,178
2023-12-21 14:53:25.375,19.0,28.9,120
2023-12-21 14:53:20.335,19.0,29.0,117
2023-12-21 14:53:15.295,19.0,28.7,122
2023-12-21 14:53:10.255,18.9,28.6,121
2023-12-21 14:53:05.216,19.0,28.5,133
2023-12-21 14:53:00.176,19.0,28.5,128
2023-12-21 14:52:55.136,19.0,28.4,122
2023-12-21 14:52:50.096,19.0,28.4,140
2023-12-21 14:52:45.055,19.0,28.3,133
2023-12-21 14:52:40.015,19.0,27.9,130
2023-12-21 14:52:34.975,19.0,28.1,117
2023-12-21 14:52:29.934,19.0,28.3,96
2023-12-21 14:52:24.894,19.0,28.6,184
2023-12-21 14:52:19.854,19.0,28.8,182
2023-12-21 14:52:14.814,19.0,28.9,183
2023-12-21 14:52:09.773,19.1,29.1,165
2023-12-21 14:52:04.733,19.0,29.0,169
2023-12-21 14:51:59.692,19.1,29.3,168
2023-12-21 14:51:54.652,19.1,29.4,169
2023-12-21 14:51:49.612,19.1,29.7,164
2023-12-21 14:51:44.571,19.1,29.6,166
2023-12-21 14:51:39.531,19.2,29.9,164
2023-12-21 14:51:34.491,19.2,30.1,163
2023-12-21 14:51:29.451,19.2,30.1,161
2023-12-21 14:51:24.411,19.2,30.2,163
2023-12-21 14:51:19.372,19.3,30.5,162
2023-12-21 14:51:14.331,19.5,31.0,160
2023-12-21 14:51:09.290,20.6,19.1,161
2023-12-21 14:51:04.250,19.0,28.7,1
2023-12-21 14:50:59.211,18.9,28.7,168
2023-12-21 14:50:54.170,18.9,28.7,166
2023-12-21 14:50:49.131,18.9,28.4,176
2023-12-21 14:50:44.091,18.9,28.0,166
2023-12-21 14:50:39.051,18.9,27.9,168
2023-12-21 14:50:34.011,18.9,28.1,171
2023-12-21 14:50:28.971,18.9,28.1,168
2023-12-21 14:50:23.931,18.9,27.9,168
2023-12-21 14:50:18.891,18.9,28.0,169
2023-12-21 14:50:13.851,18.9,28.1,166
2023-12-21 14:50:08.811,18.9,27.9,154
2023-12-21 14:50:03.771,18.9,28.0,151
2023-12-21 14:49:58.731,18.9,28.1,156
2023-12-21 14:49:53.691,18.9,28.3,152
2023-12-21 14:49:48.651,18.9,28.5,158
2023-12-21 14:49:43.612,18.9,28.7,157
2023-12-21 14:49:38.572,18.9,28.6,159
2023-12-21 14:49:33.532,18.9,28.5,171
2023-12-21 14:49:28.492,18.9,28.5,154
2023-12-21 14:49:23.452,18.9,28.5,157
2023-12-21 14:49:18.412,18.9,28.3,152
2023-12-21 14:49:13.371,18.9,28.4,159
2023-12-21 14:49:08.331,18.9,28.3,153
2023-12-21 14:49:03.290,18.9,28.1,171
2023-12-21 14:48:58.250,19.0,27.9,154
2023-12-21 14:48:53.209,18.9,27.9,186
2023-12-21 14:48:48.169,18.9,28.2,178
2023-12-21 14:48:43.129,18.9,28.3,178
2023-12-21 14:48:38.089,18.9,28.5,177
2023-12-21 14:48:33.049,18.9,28.6,184
2023-12-21 14:48:28.009,18.9,28.4,185
2023-12-21 14:48:22.969,18.9,28.2,177
2023-12-21 14:48:17.928,18.9,28.2,176
2023-12-21 14:48:12.888,18.9,27.9,159
2023-12-21 14:48:07.848,18.9,27.8,186
2023-12-21 14:48:02.808,18.9,27.9,186
2023-12-21 14:47:57.767,19.0,28.2,176
2023-12-21 14:47:52.726,18.9,28.2,176
2023-12-21 14:47:47.686,18.9,28.0,178
2023-12-21 14:47:42.646,18.9,27.8,179
2023-12-21 14:47:37.606,18.9,27.5,179
2023-12-21 14:47:32.566,18.9,27.4,179
2023-12-21 14:47:27.526,19.0,27.2,176
2023-12-21 14:47:22.486,19.0,27.3,178
2023-12-21 14:47:17.446,19.0,27.3,180
2023-12-21 14:47:12.407,18.9,27.4,186
2023-12-21 14:47:07.366,18.9,27.5,176
2023-12-21 14:47:02.327,18.9,27.5,176
